num;date;time;orig;type;action;alert;i/f_name;i/f_dir;product;sys_message:;service;s_port;src;dst
58;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.66;44.230.209.108
59;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.104;44.230.209.108
60;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.132;44.230.209.108
61;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.132;44.230.209.108
62;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.234;44.230.209.108
63;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.204;44.230.209.108
64;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.84;91.121.40.21
65;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.84;91.121.40.21
66;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.104;91.121.40.21
67;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.34;91.121.40.21
68;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.119;91.121.40.21
69;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.54;91.121.40.21
70;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.5;91.121.40.21
71;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.68;91.121.40.21
72;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.68;91.121.40.21
73;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.96;91.121.40.21
74;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.216;91.121.40.21
75;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.21;91.121.40.21
76;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.137;91.121.40.21
77;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.43;91.121.40.21
78;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.223;3.213.224.209
79;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.223;3.213.224.209
80;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.252;3.213.224.209
81;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.135;3.213.224.209
82;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.159;3.213.224.209
83;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.135;3.213.224.209
84;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.135;3.213.224.209
85;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.159;3.213.224.209
86;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.96;3.213.224.209
87;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.96;3.213.224.209
88;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.104;3.213.224.209
89;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.187;3.213.224.209
90;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.212;3.213.224.209
91;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.187;3.213.224.209
92;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.128;3.213.224.209
93;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.187;3.213.224.209
94;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.89;94.230.219.148
95;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.215;94.230.219.148
96;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.111;94.230.219.148
97;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.215;94.230.219.148
98;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.111;94.230.219.148
99;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.131;94.230.219.148
100;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.131;94.230.219.148
101;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.17;94.230.219.148
102;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.118;94.230.219.148
103;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.108;94.230.219.148
104;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.223;94.230.219.148
105;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.98;94.230.219.148
106;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.106;94.230.219.148
107;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.1;94.230.219.148
108;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.1;94.230.219.148
109;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.1;94.230.219.148
110;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.1;94.230.219.148
111;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.230;107.20.83.181
112;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.230;107.20.83.181
113;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.99;107.20.83.181
114;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.43;107.20.83.181
115;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.71;107.20.83.181
116;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.155;107.20.83.181
117;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.232;107.20.83.181
118;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.6;107.20.83.181
119;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.232;107.20.83.181
120;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.6;107.20.83.181
121;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.129;107.20.83.181
122;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.203;107.20.83.181
123;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.181;107.20.83.181
124;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.203;107.20.83.181
125;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.135;4.30.4.12
126;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.4;4.30.4.12
127;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.135;4.30.4.12
128;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.64;4.30.4.12
129;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.60;4.30.4.12
130;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.235;4.30.4.12
131;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.228;4.30.4.12
132;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.64;4.30.4.12
133;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.54;4.30.4.12
134;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.171;4.30.4.12
135;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.54;4.30.4.12
136;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.171;4.30.4.12
137;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.150;4.30.4.12
138;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.70;4.30.4.12
139;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.39;4.30.4.12
140;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.134;4.30.4.12
141;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.39;4.30.4.12
142;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.222;63.240.144.205
143;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.222;63.240.144.205
144;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.222;63.240.144.205
145;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.45;63.240.144.205
146;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.45;63.240.144.205
147;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.90;63.240.144.205
148;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.90;63.240.144.205
149;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.71;63.240.144.205
150;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.71;63.240.144.205
151;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.71;63.240.144.205
152;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.197;63.240.144.205
153;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.197;63.240.144.205
154;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.20;63.240.144.205
155;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.245;63.240.144.205
156;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.245;63.240.144.205
157;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.66;216.70.112.132
158;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.196;216.70.112.132
159;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.182;216.70.112.132
160;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.66;216.70.112.132
161;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.125;216.70.112.132
162;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.1.125;216.70.112.132
163;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.63;216.70.112.132
164;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.83;216.70.112.132
165;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.83;216.70.112.132
166;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.86;216.70.112.132
167;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.107;216.70.112.132
168;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.107;216.70.112.132
169;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.107;216.70.112.132
170;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.43;216.70.112.132
171;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.17;54.165.80.23
172;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.136;54.165.80.23
173;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.136;54.165.80.23
174;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.2.218;54.165.80.23
175;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.8;54.165.80.23
176;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.8;54.165.80.23
177;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.77;54.165.80.23
178;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.27;54.165.80.23
179;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.6.218;54.165.80.23
180;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.10.220;54.165.80.23
181;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.140;54.165.80.23
182;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.140;54.165.80.23
183;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.187;54.165.80.23
184;28Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.4.187;54.165.80.23
185;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.96;54.165.80.23
186;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.8.204;54.165.80.23
187;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.174;54.165.80.23
188;27Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.96;54.165.80.23
189;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.66;204.194.222.28
190;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.9.66;204.194.222.28
191;30Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.122;204.194.222.28
192;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.58;204.194.222.28
193;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.5.54;204.194.222.28
194;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.7.58;204.194.222.28
195;29Dec2021;00:00:00;microsoft.com;control; ;;daemon;inbound;VPN-1 & FireWall-1;;http;23456;10.0.3.231;204.194.222.28
